Codice regione;"Denominazione regione
(Maisucolo)";Denominazione regione
1;PIEMONTE;Piemonte
2;VALLE D'AOSTA/VALLÉE D'AOSTE;Valle d'Aosta/Vallée d'Aoste
3;LOMBARDIA;Lombardia
4;TRENTINO-ALTO ADIGE/SÜDTIROL;Trentino-Alto Adige/Südtirol
5;VENETO;Veneto
6;FRIULI-VENEZIA GIULIA;Friuli-Venezia Giulia
7;LIGURIA;Liguria
8;EMILIA-ROMAGNA;Emilia-Romagna
9;TOSCANA;Toscana
10;UMBRIA;Umbria
11;MARCHE;Marche
12;LAZIO;Lazio
13;ABRUZZO;Abruzzo
14;MOLISE;Molise
15;CAMPANIA;Campania
16;PUGLIA;Puglia
17;BASILICATA;Basilicata
18;CALABRIA;Calabria
19;SICILIA;Sicilia
20;SARDEGNA;Sardegna
